                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.1332,                0.65381,                 1.1338,                0.93857,                0.86822,                0.94584,                0.60474,                 1.2028,                 0.6192,                 1.2887,              0.0088219,              0.0088219,              0.0088219
                    122,                 1.1421,                0.66045,                 1.1402,                0.92151,                0.90995,                0.95959,                0.62911,                 1.1436,                0.57707,                 1.2392,               0.008812,               0.008812,               0.008812
                    123,                 1.1337,                0.65853,                 1.1395,                0.95134,                0.86316,                0.94609,                0.62977,                 1.1385,                0.61657,                 1.2496,              0.0088021,              0.0088021,              0.0088021
                    124,                  1.139,                0.66022,                 1.1306,                0.93798,                 0.8776,                0.94719,                0.62431,                  1.177,                0.57906,                 1.2757,              0.0087922,              0.0087922,              0.0087922
                    125,                 1.1431,                0.66023,                  1.137,                0.95323,                0.89573,                0.95248,                0.62507,                 1.1738,                0.58798,                 1.2658,              0.0087823,              0.0087823,              0.0087823
                    126,                  1.139,                0.65917,                 1.1357,                0.95303,                0.89075,                0.95482,                0.63096,                 1.1536,                0.63305,                 1.2544,              0.0087724,              0.0087724,              0.0087724
                    127,                 1.1306,                0.66031,                  1.131,                 0.9222,                0.87026,                0.92885,                0.58488,                 1.2525,                 0.6546,                 1.3076,              0.0087625,              0.0087625,              0.0087625
                    128,                 1.1305,                0.65259,                 1.1291,                0.94841,                0.87663,                0.94233,                0.61584,                 1.1907,                0.61279,                  1.273,              0.0087526,              0.0087526,              0.0087526
                    129,                 1.1341,                0.65696,                 1.1312,                0.95768,                 0.8833,                0.95793,                0.62777,                 1.1711,                0.58894,                 1.2633,              0.0087427,              0.0087427,              0.0087427
                    130,                 1.1341,                0.65329,                 1.1306,                0.92463,                0.92134,                0.96038,                0.64797,                 1.1402,                0.55324,                  1.245,              0.0087328,              0.0087328,              0.0087328
                    131,                 1.1218,                0.64933,                 1.1236,                0.93386,                0.90771,                0.95792,                0.64011,                 1.1429,                0.56801,                 1.2479,              0.0087229,              0.0087229,              0.0087229
                    132,                 1.1206,                0.64324,                  1.122,                0.91646,                0.91092,                0.95451,                 0.6424,                 1.1423,                0.58506,                  1.251,               0.008713,               0.008713,               0.008713
                    133,                 1.1133,                0.64528,                 1.1249,                0.96238,                0.91476,                0.96842,                0.64713,                 1.1265,                0.56505,                 1.2269,              0.0087031,              0.0087031,              0.0087031
